"StateOrUT","30-Jan","31-Jan","01-Feb","02-Feb","03-Feb","04-Feb","05-Feb","06-Feb","07-Feb","08-Feb","09-Feb","10-Feb","11-Feb","12-Feb","13-Feb","14-Feb","15-Feb","16-Feb","17-Feb","18-Feb","19-Feb","20-Feb","21-Feb","22-Feb","23-Feb","24-Feb","25-Feb","26-Feb","27-Feb","28-Feb","29-Feb","01-Mar","02-Mar","03-Mar","04-Mar","05-Mar","06-Mar","07-Mar","08-Mar","09-Mar","10-Mar","13-Mar","11-Mar","12-Mar","14-Mar","15-Mar","16-Mar","17-Mar","18-Mar","19-Mar","20-Mar","21-Mar","22-Mar","23-Mar","24-Mar","25-Mar","26-Mar","27-Mar","28-Mar","29-Mar","30-Mar","31-Mar","01-Apr","02-Apr","03-Apr","04-Apr","05-Apr","06-Apr","07-Apr","08-Apr","09-Apr","10-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","18-Apr","19-Apr","20-Apr","21-Apr","22-Apr","23-Apr","24-Apr","25-Apr","26-Apr","27-Apr","28-Apr","29-Apr","30-Apr","02-May","03-May","04-May","05-May","06-May","07-May","08-May","09-May","10-May","11-May","12-May","13-May","14-May","15-May","16-May","17-May","18-May","19-May","20-May","21-May","22-May","23-May","24-May","25-May","26-May","27-May","28-May","29-May","30-May","31-May","01-Jun","02-Jun","03-Jun","04-Jun","05-Jun","06-Jun","07-Jun","08-Jun","09-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-jun","16-Jun","17-Jun","18-Jun","19-Jun","20-Jun"
"Madhya Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,7,14,20,20,30,30,47,47,47,99,104,104,165,165,229,229,259,259,443,564,604,730,987,1120,1308,1355,1407,1485,1540,1592,1695,1852,1952,2096,2168,2368,2561,2660,2719,2846,2942,3049,3049,3138,3252,3341,3614,3614,3785,3986,4173,4426,4595,4789,4977,5236,5465,5735,5981,6170,6371,6665,6859,7024,7261,7453,7645,7891,8089,8283,8420,8588,8762,8996,9401,9401,9638,9849,10049,10241,10443,10641,10802,10935,11083,11244,11426,"11582"
"Maharashtra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,11,14,14,32,32,36,39,44,49,60,64,71,86,125,121,127,177,183,198,216,302,335,335,490,490,748,868,1018,1135,1364,1574,1761,1985,2337,2687,2919,3205,3323,3651,4203,4669,5221,5652,6430,6817,7628,8068,8590,9318,9915,11506,12296,12974,14541,15525,16758,17974,19063,20228,22171,23401,24427,25922,27524,29100,30706,33053,35058,37136,39297,41642,44582,47190,50231,52667,54758,56948,59546,62228,65168,67655,70013,72300,74860,77793,80229,85975,85975,88528,90787,94041,97648,101141,104568,107958,110744,113445,116752,120504,"124331"
"Manipur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,7,7,7,9,25,25,26,29,32,39,39,44,55,59,62,71,83,89,118,124,132,172,172,272,304,311,366,385,449,458,490,500,552,606,"681"
"Meghalaya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,9,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,15,20,21,27,27,27,27,27,33,33,33,36,36,36,43,44,44,44,44,44,44,44,44,44,"44"
"Mizoram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,14,17,22,34,34,42,88,93,102,104,107,112,117,121,121,130,"130"
"Nagaland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,18,25,36,43,43,49,58,80,94,118,118,123,127,128,128,156,163,168,177,179,193,193,"198"
"Odisha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,5,5,20,21,42,42,42,44,48,54,54,55,60,60,60,60,61,68,74,82,83,90,94,103,108,118,119,128,154,160,163,170,175,185,219,271,294,377,414,437,538,611,672,737,828,876,978,1052,1103,1189,1269,1336,1438,1517,1593,1660,1723,1819,1948,2104,2245,2388,2478,2608,2856,2856,2994,3140,3250,3386,3498,3723,3909,4055,4163,4338,4512,"4677"
"Puducherry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,12,13,13,13,13,13,13,18,18,18,20,26,26,41,41,46,46,51,51,51,70,74,82,82,82,99,99,99,127,127,127,157,157,176,194,202,216,245,271,"286"
"Punjab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,13,21,21,29,29,33,33,38,38,38,41,41,46,48,57,57,76,91,91,101,132,132,151,167,176,186,186,186,202,219,219,245,251,277,277,298,298,313,313,322,357,772,772,1102,1233,1451,1516,1644,1731,1762,1823,1877,1914,1924,1935,1935,1946,1964,1980,2002,2005,2028,2029,2045,2060,2060,2106,2139,2158,2197,2233,2263,2301,2342,2376,2415,2461,2608,2608,2663,2719,2805,2887,2986,3063,3140,3267,3371,3497,3615,"3832"
"Rajasthan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,15,15,22,26,30,34,39,39,52,52,59,74,93,108,167,200,200,274,288,328,383,463,553,700,812,879,1005,1023,1131,1229,1351,1478,1576,1801,1890,1964,2034,2083,2185,2262,2364,2438,2666,2772,2886,3061,3158,3317,3427,3579,3708,3814,3988,4126,4328,4534,4727,4960,5202,5507,5845,6015,6227,6494,6742,7028,7300,7536,7703,8067,8365,8617,8831,8980,9373,9652,9862,10084,10599,10599,10763,11245,11600,11838,12068,12401,12694,12981,13216,13542,13857,"14156"
